AbbreviationAsWordInName	Check for abbreviations(consecutive capital letters) length in identifier name, also enforce camel case naming.
AbstractClassName	Ensure that the names of abstract classes conforming to some regular expression.
AnnotationLocation	Check location of annotation on language elements. Generally annotations are located immediately after documentation block, before target element and in separate line from target element.
AnnotationUseStyle	Ensure style matches with the usage of annotations.
AnonInnerLength	Check for long anonymous inner classes. If an anonymous inner class becomes very long it is hard to understand and to see the flow of the method where the class is defined. Therefore long anonymous inner classes should usually be refactored into a named inner class.
ArrayTrailingComma	Check if array initialization contains optional trailing comma. Putting this comma in makes it easier to change the order of the elements or add new elements on the end.
ArrayTypeStyle	Check the style of array type definitions - Java style: public static void main(String[] args) or C style: public static void main(String args[]).
AtclauseOrder	Check the order of at-clauses (ex - @author, @version, @param)
AvoidEscapedUnicodeCharacters	Restrict using Unicode escapes.
AvoidInlineConditionals	Avoid using inline conditionals as sometimes it's hard for developers to read them.
AvoidNestedBlocks	Avoid using nested blocks. Nested blocks are often leftovers from the debugging process, they confuse the reader.
AvoidStarImport	Avoid using import statements that use the * notation. Importing all classes from a package or static members from a class leads to tight coupling between packages or classes and might lead to problems when a new version of a library introduces name clashes.
AvoidStaticImport	Avoid using static imports. Importing static members can lead to naming conflicts between class' members. It may lead to poor code readability since it may no longer be clear what class a member resides in (without looking at the import statement).
BooleanExpressionComplexity	Restrict nested boolean operators (&&, ||, &, | and ^) to a specified depth (default = 3). Too many conditions leads to code that is difficult to read and hence debug and maintain.
CatchParameterName	Check that 'catch' parameter names conform to a format specified by the format property.
ClassDataAbstractionCoupling	Limit the number of instantiations of other classes within the given class. Any data type with other data types as members or local variable that is an instantiation (object) of another class has data abstraction coupling (DAC) and higher the DAC, the more complex the structure of the class.
ClassFanOutComplexity	Limit the number of other classes a given class relies on.
ClassTypeParameterName	Ensure that class type parameter names conform to a format specified by the format property.
CommentsIndentation	Check indentation between comments and surrounding code. Comments are indented at the same level as the surrounding code.
ConstantName	Check that 'constant' (static, final) names conform to a format specified by the format property.
CovariantEquals	Check that if a class defines a covariant method 'equals()', then it defines method 'equals(java.lang.Object)'.
CustomImportOrder	Check that the groups of import declarations appear in the order specified by the user.
CyclomaticComplexity	Check cyclomatic complexity against a specified limit.
DeclarationOrder	Check that the parts of a class or interface declaration appear in the order suggested by the�Code Conventions for the Java Programming Language. In Class or Instance Variables : public, protected, package level, private etc.
DefaultComesLast	Check that the�'default'�is after all the�cases in a�switch�statement.
DescendantToken	Check for restricted tokens beneath other tokens.
DesignForExtension	Check that classes are designed for inheritance (subclass creation).
EmptyBlock	Check for empty blocks.
EmptyCatchBlock	Check for empty 'catch' blocks with few options to skip violation.
EmptyForInitializerPad	Check the padding of an empty 'for' loop initializer; that is whether a space is required at an empty 'for' initializer or such spaces are forbidden.
EmptyForIteratorPad	Check the padding of an empty 'for' loop iterator; that is whether a space is required at an empty 'for' iterator  or such spaces are forbidden.
EmptyLineSeparator	Check for blank line separators after header, package, all import declarations, fields, constructors, methods, nested classes, static initializers and instance initializers.
EmptyStatement	Check for empty statements (standalone ';').
